"question","answer"
"What is the Forward voltage of the 1N4148?","IF = 10  mA"
"What is one application of the 1N4148?","Extreme fast switches"
"What is one feature of the 1N4148?","Silicon epitaxial planar diode"
"What characteristic does the 1N4148 have?","Lead spacing: 25.4 (1.000) min."
"What characteristic does the 1N4148 have?","Lead spacing: 3.4 (0.134) max."
"What is the Reverse current of the 1N4148?","VR = 20  V , T = 150°C"
"What characteristic does the 1N4148 have?","Overall length: 1.75 (0.069) to 1.5 (0.059)."
"What is the Rectification efficiency of the 1N4148?","VHF = 2  V , f = 100  MHz"
"What is the Thermal resistance junction to ambient air of the 1N4148?","I = 4  mm, TL = constant"
"What is one feature of the 1N4148?","Material categorization: for definitions of compliance please see [www.vishay.com/doc/299912](#)"
"What is the F of the 5.0SMDJ-Q-family?","0.20(0.008) MAX."
"What is the 5.0SMDJ64A-Q of the 5.0SMDJ-Q-family?","5PGMQ"
"What is one feature of the 5.0SMDJ-Q-family?","AEC-Q101 compliant\*\*\*"
"What is one feature of the 5.0SMDJ-Q-family?","Peak Pulse Power: 5000 watts"
"What is the Peak Forward Surge Current8.3 ms Single Half Sine Wave Superimposed on Rated Load(JEDEC Method) (Note 3,4) of the 5.0SMDJ-Q-family?","300"
"What is the 5.0SMDJ8.5A-Q of the 5.0SMDJ-Q-family?","5PDTQ"
"What is the 5.0SMDJ10A-Q of the 5.0SMDJ-Q-family?","5PDXQ"
"What is the 5.0SMDJ120A-Q of the 5.0SMDJ-Q-family?","5PHGQ"
"What is the H of the 5.0SMDJ-Q-family?","0.76 - 1.52(0.030 - 0.060)"
"What is the B of the 5.0SMDJ-Q-family?","5.59 - 6.22(0.220 - 0.245)"
"What is the 1 of the attiny25-45-85?","The falling edge of INT0 generates an interrupt request."
"What is the D2 of the attiny25-45-85?","2.45"
"What is the 0x05 of the attiny25-45-85?","ADC Data Register High Byte"
"What is the SII of the attiny25-45-85?","00111110000"
"What is the Signal Name of the attiny25-45-85?","PB2/SCK/ADC1/T0/USCK/SCL/INT0/PCINT2"
"What is the 1 of the attiny25-45-85?","PCK/512"
